Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,,
Date extracted: 2016-03-24 20:11:16 +01:00,,,,
Country / territory of asylum/residence,Origin,Year,Month,Value
Spain,Syrian Arab Rep.,2013,August,49
Spain,Syrian Arab Rep.,2013,September,67
Spain,Syrian Arab Rep.,2013,October,63
Spain,Syrian Arab Rep.,2013,November,63
Spain,Syrian Arab Rep.,2013,December,55
Spain,Syrian Arab Rep.,2014,January,41
Spain,Syrian Arab Rep.,2014,February,93
Spain,Syrian Arab Rep.,2014,March,96
Spain,Syrian Arab Rep.,2014,April,76
Spain,Syrian Arab Rep.,2014,May,74
Spain,Syrian Arab Rep.,2014,June,129
Spain,Syrian Arab Rep.,2014,July,88
Spain,Syrian Arab Rep.,2014,August,93
Spain,Syrian Arab Rep.,2014,September,118
Spain,Syrian Arab Rep.,2014,October,288
Spain,Syrian Arab Rep.,2014,November,213
Spain,Syrian Arab Rep.,2014,December,357
Spain,Syrian Arab Rep.,2015,January,432
Spain,Syrian Arab Rep.,2015,February,330
Spain,Syrian Arab Rep.,2015,March,568
Spain,Syrian Arab Rep.,2015,April,797
Spain,Syrian Arab Rep.,2015,May,474
Spain,Syrian Arab Rep.,2015,June,558
Spain,Syrian Arab Rep.,2015,July,356
Spain,Syrian Arab Rep.,2015,August,343
Spain,Syrian Arab Rep.,2015,September,479
Spain,Syrian Arab Rep.,2015,October,556
Spain,Syrian Arab Rep.,2015,November,547
Spain,Syrian Arab Rep.,2015,December,187
Slovakia,Syrian Arab Rep.,2011,October,5
Slovakia,Syrian Arab Rep.,2012,September,2
Slovakia,Syrian Arab Rep.,2012,November,1
Slovakia,Syrian Arab Rep.,2012,December,1
Slovakia,Syrian Arab Rep.,2013,April,2
Slovakia,Syrian Arab Rep.,2013,May,1
Slovakia,Syrian Arab Rep.,2013,June,1
Slovakia,Syrian Arab Rep.,2013,October,8
Slovakia,Syrian Arab Rep.,2013,November,1
Slovakia,Syrian Arab Rep.,2014,March,22
Slovakia,Syrian Arab Rep.,2014,June,*
Slovakia,Syrian Arab Rep.,2014,September,*
Slovakia,Syrian Arab Rep.,2014,November,5
Slovakia,Syrian Arab Rep.,2014,December,*
Slovakia,Syrian Arab Rep.,2015,March,*
Slovakia,Syrian Arab Rep.,2015,April,*
Slovakia,Syrian Arab Rep.,2015,May,*
Slovakia,Syrian Arab Rep.,2015,October,*
Slovenia,Syrian Arab Rep.,2011,March,1
Slovenia,Syrian Arab Rep.,2011,June,1
Slovenia,Syrian Arab Rep.,2011,July,1
Slovenia,Syrian Arab Rep.,2011,October,7
Slovenia,Syrian Arab Rep.,2012,March,1
Slovenia,Syrian Arab Rep.,2012,June,4
Slovenia,Syrian Arab Rep.,2012,July,3
Slovenia,Syrian Arab Rep.,2012,August,4
Slovenia,Syrian Arab Rep.,2012,September,1
Slovenia,Syrian Arab Rep.,2012,October,11
Slovenia,Syrian Arab Rep.,2012,November,4
Slovenia,Syrian Arab Rep.,2012,December,4
Slovenia,Syrian Arab Rep.,2013,January,17
Slovenia,Syrian Arab Rep.,2013,February,3
Slovenia,Syrian Arab Rep.,2013,March,2
Slovenia,Syrian Arab Rep.,2013,May,13
Slovenia,Syrian Arab Rep.,2013,June,15
Slovenia,Syrian Arab Rep.,2013,July,1
Slovenia,Syrian Arab Rep.,2013,August,1
Slovenia,Syrian Arab Rep.,2013,September,1
Slovenia,Syrian Arab Rep.,2013,October,2
Slovenia,Syrian Arab Rep.,2013,December,1
Slovenia,Syrian Arab Rep.,2014,January,5
Slovenia,Syrian Arab Rep.,2014,February,*
Slovenia,Syrian Arab Rep.,2014,March,*
Slovenia,Syrian Arab Rep.,2014,April,11
Slovenia,Syrian Arab Rep.,2014,May,15
Slovenia,Syrian Arab Rep.,2014,June,8
Slovenia,Syrian Arab Rep.,2014,July,*
Slovenia,Syrian Arab Rep.,2014,August,9
Slovenia,Syrian Arab Rep.,2014,September,10
Slovenia,Syrian Arab Rep.,2014,October,13
Slovenia,Syrian Arab Rep.,2014,November,6
Slovenia,Syrian Arab Rep.,2015,January,*
Slovenia,Syrian Arab Rep.,2015,June,*
Slovenia,Syrian Arab Rep.,2015,August,*
Slovenia,Syrian Arab Rep.,2015,September,*
Slovenia,Syrian Arab Rep.,2015,November,*
Slovenia,Syrian Arab Rep.,2015,December,8
Sweden,Syrian Arab Rep.,2011,January,34
Sweden,Syrian Arab Rep.,2011,February,34
Sweden,Syrian Arab Rep.,2011,March,42
Sweden,Syrian Arab Rep.,2011,April,52
Sweden,Syrian Arab Rep.,2011,May,47
Sweden,Syrian Arab Rep.,2011,June,51
Sweden,Syrian Arab Rep.,2011,July,49
Sweden,Syrian Arab Rep.,2011,August,51
Sweden,Syrian Arab Rep.,2011,September,64
Sweden,Syrian Arab Rep.,2011,October,66
Sweden,Syrian Arab Rep.,2011,November,75
Sweden,Syrian Arab Rep.,2011,December,81
Sweden,Syrian Arab Rep.,2012,January,147
Sweden,Syrian Arab Rep.,2012,February,157
Sweden,Syrian Arab Rep.,2012,March,143
Sweden,Syrian Arab Rep.,2012,April,163
Sweden,Syrian Arab Rep.,2012,May,229
Sweden,Syrian Arab Rep.,2012,June,351
Sweden,Syrian Arab Rep.,2012,July,621
Sweden,Syrian Arab Rep.,2012,August,1134
Sweden,Syrian Arab Rep.,2012,September,1300
Sweden,Syrian Arab Rep.,2012,October,1254
Sweden,Syrian Arab Rep.,2012,November,1156
Sweden,Syrian Arab Rep.,2012,December,1159
Sweden,Syrian Arab Rep.,2013,January,1004
Sweden,Syrian Arab Rep.,2013,February,734
Sweden,Syrian Arab Rep.,2013,March,752
Sweden,Syrian Arab Rep.,2013,April,703
Sweden,Syrian Arab Rep.,2013,May,765
Sweden,Syrian Arab Rep.,2013,June,730
Sweden,Syrian Arab Rep.,2013,July,977
Sweden,Syrian Arab Rep.,2013,August,1180
Sweden,Syrian Arab Rep.,2013,September,2713
Sweden,Syrian Arab Rep.,2013,October,2641
Sweden,Syrian Arab Rep.,2013,November,2136
Sweden,Syrian Arab Rep.,2013,December,1982
Sweden,Syrian Arab Rep.,2014,January,1548
Sweden,Syrian Arab Rep.,2014,February,1544
Sweden,Syrian Arab Rep.,2014,March,1695
Sweden,Syrian Arab Rep.,2014,April,1724
Sweden,Syrian Arab Rep.,2014,May,2200
Sweden,Syrian Arab Rep.,2014,June,2936
Sweden,Syrian Arab Rep.,2014,July,3461
Sweden,Syrian Arab Rep.,2014,August,3470
Sweden,Syrian Arab Rep.,2014,September,3926
Sweden,Syrian Arab Rep.,2014,October,3121
Sweden,Syrian Arab Rep.,2014,November,2261
Sweden,Syrian Arab Rep.,2014,December,2427
Sweden,Syrian Arab Rep.,2015,January,1535
Sweden,Syrian Arab Rep.,2015,February,918
Sweden,Syrian Arab Rep.,2015,March,917
Sweden,Syrian Arab Rep.,2015,April,962
Sweden,Syrian Arab Rep.,2015,May,1170
Sweden,Syrian Arab Rep.,2015,June,1710
Sweden,Syrian Arab Rep.,2015,July,2463
Sweden,Syrian Arab Rep.,2015,August,4746
Sweden,Syrian Arab Rep.,2015,September,10918
Sweden,Syrian Arab Rep.,2015,October,12929
Sweden,Syrian Arab Rep.,2015,November,9591
Sweden,Syrian Arab Rep.,2015,December,3050
Switzerland,Syrian Arab Rep.,2011,January,34
Switzerland,Syrian Arab Rep.,2011,February,39
Switzerland,Syrian Arab Rep.,2011,March,56
Switzerland,Syrian Arab Rep.,2011,April,24
Switzerland,Syrian Arab Rep.,2011,May,36
Switzerland,Syrian Arab Rep.,2011,June,34
Switzerland,Syrian Arab Rep.,2011,July,44
Switzerland,Syrian Arab Rep.,2011,August,80
Switzerland,Syrian Arab Rep.,2011,September,91
Switzerland,Syrian Arab Rep.,2011,October,95
Switzerland,Syrian Arab Rep.,2011,November,108
Switzerland,Syrian Arab Rep.,2011,December,47
Switzerland,Syrian Arab Rep.,2012,January,117
Switzerland,Syrian Arab Rep.,2012,February,84
Switzerland,Syrian Arab Rep.,2012,March,57
Switzerland,Syrian Arab Rep.,2012,April,64
Switzerland,Syrian Arab Rep.,2012,May,75
Switzerland,Syrian Arab Rep.,2012,June,98
Switzerland,Syrian Arab Rep.,2012,July,97
Switzerland,Syrian Arab Rep.,2012,August,125
Switzerland,Syrian Arab Rep.,2012,September,108
Switzerland,Syrian Arab Rep.,2012,October,144
Switzerland,Syrian Arab Rep.,2012,November,134
Switzerland,Syrian Arab Rep.,2012,December,43
Switzerland,Syrian Arab Rep.,2013,January,94
Switzerland,Syrian Arab Rep.,2013,February,62
Switzerland,Syrian Arab Rep.,2013,March,84
Switzerland,Syrian Arab Rep.,2013,April,91
Switzerland,Syrian Arab Rep.,2013,May,50
Switzerland,Syrian Arab Rep.,2013,June,64
Switzerland,Syrian Arab Rep.,2013,July,99
Switzerland,Syrian Arab Rep.,2013,August,120
Switzerland,Syrian Arab Rep.,2013,September,126
Switzerland,Syrian Arab Rep.,2013,October,232
Switzerland,Syrian Arab Rep.,2013,November,452
Switzerland,Syrian Arab Rep.,2013,December,378
Switzerland,Syrian Arab Rep.,2014,January,409
Switzerland,Syrian Arab Rep.,2014,February,395
Switzerland,Syrian Arab Rep.,2014,March,373
Switzerland,Syrian Arab Rep.,2014,April,409
Switzerland,Syrian Arab Rep.,2014,May,359
Switzerland,Syrian Arab Rep.,2014,June,274
Switzerland,Syrian Arab Rep.,2014,July,228
Switzerland,Syrian Arab Rep.,2014,August,245
Switzerland,Syrian Arab Rep.,2014,September,324
Switzerland,Syrian Arab Rep.,2014,October,343
Switzerland,Syrian Arab Rep.,2014,November,212
Switzerland,Syrian Arab Rep.,2014,December,197
Switzerland,Syrian Arab Rep.,2015,January,134
Switzerland,Syrian Arab Rep.,2015,February,148
Switzerland,Syrian Arab Rep.,2015,March,96
Switzerland,Syrian Arab Rep.,2015,April,137
Switzerland,Syrian Arab Rep.,2015,May,88
Switzerland,Syrian Arab Rep.,2015,June,125
Switzerland,Syrian Arab Rep.,2015,July,235
Switzerland,Syrian Arab Rep.,2015,August,395
Switzerland,Syrian Arab Rep.,2015,September,905
Switzerland,Syrian Arab Rep.,2015,October,614
Switzerland,Syrian Arab Rep.,2015,November,978
Switzerland,Syrian Arab Rep.,2015,December,794
Turkey,Syrian Arab Rep.,2011,January,1
Turkey,Syrian Arab Rep.,2011,February,13
Turkey,Syrian Arab Rep.,2011,March,4
Turkey,Syrian Arab Rep.,2011,April,2
Turkey,Syrian Arab Rep.,2011,May,7
Turkey,Syrian Arab Rep.,2011,June,57
Turkey,Syrian Arab Rep.,2011,July,45
Turkey,Syrian Arab Rep.,2011,August,55
Turkey,Syrian Arab Rep.,2011,September,3
Turkey,Syrian Arab Rep.,2011,December,1
Turkey,Syrian Arab Rep.,2012,January,1
Turkey,Syrian Arab Rep.,2012,February,1
Turkey,Syrian Arab Rep.,2012,March,1
Turkey,Syrian Arab Rep.,2012,May,1
Turkey,Syrian Arab Rep.,2012,June,3
Turkey,Syrian Arab Rep.,2012,July,3
Turkey,Syrian Arab Rep.,2012,September,2
Turkey,Syrian Arab Rep.,2012,October,4
Turkey,Syrian Arab Rep.,2012,November,4
Turkey,Syrian Arab Rep.,2012,December,4
Turkey,Syrian Arab Rep.,2013,January,9
Turkey,Syrian Arab Rep.,2013,February,5
Turkey,Syrian Arab Rep.,2013,March,3
Turkey,Syrian Arab Rep.,2013,April,6
Turkey,Syrian Arab Rep.,2013,May,7
Turkey,Syrian Arab Rep.,2013,June,7
Turkey,Syrian Arab Rep.,2013,July,6
Turkey,Syrian Arab Rep.,2013,August,7
Turkey,Syrian Arab Rep.,2013,September,1
Turkey,Syrian Arab Rep.,2013,October,25
Turkey,Syrian Arab Rep.,2013,November,21
Turkey,Syrian Arab Rep.,2013,December,11
Turkey,Syrian Arab Rep.,2014,January,161
Turkey,Syrian Arab Rep.,2014,February,514
Turkey,Syrian Arab Rep.,2014,March,692
Turkey,Syrian Arab Rep.,2014,April,533
Turkey,Syrian Arab Rep.,2014,May,360
Turkey,Syrian Arab Rep.,2014,June,290
Turkey,Syrian Arab Rep.,2014,July,520
Turkey,Syrian Arab Rep.,2014,August,557
Turkey,Syrian Arab Rep.,2014,September,917
Turkey,Syrian Arab Rep.,2014,October,1024
Turkey,Syrian Arab Rep.,2014,November,1644
Turkey,Syrian Arab Rep.,2014,December,1154
Turkey,Syrian Arab Rep.,2015,January,*
Turkey,Syrian Arab Rep.,2015,February,8
Turkey,Syrian Arab Rep.,2015,March,11
Turkey,Syrian Arab Rep.,2015,April,21
Turkey,Syrian Arab Rep.,2015,May,9
Turkey,Syrian Arab Rep.,2015,June,14
Turkey,Syrian Arab Rep.,2015,July,9
Turkey,Syrian Arab Rep.,2015,August,7
Turkey,Syrian Arab Rep.,2015,September,15
Turkey,Syrian Arab Rep.,2015,October,9
USA (INS/DHS),Syrian Arab Rep.,2011,January,1
USA (INS/DHS),Syrian Arab Rep.,2011,February,2
USA (INS/DHS),Syrian Arab Rep.,2011,March,3
USA (INS/DHS),Syrian Arab Rep.,2011,April,6
USA (INS/DHS),Syrian Arab Rep.,2011,May,14
USA (INS/DHS),Syrian Arab Rep.,2011,June,14
USA (INS/DHS),Syrian Arab Rep.,2011,July,17
USA (INS/DHS),Syrian Arab Rep.,2011,August,29
USA (INS/DHS),Syrian Arab Rep.,2011,September,24
USA (INS/DHS),Syrian Arab Rep.,2011,October,25
USA (INS/DHS),Syrian Arab Rep.,2011,November,36
USA (INS/DHS),Syrian Arab Rep.,2011,December,34
USA (INS/DHS),Syrian Arab Rep.,2012,January,52
USA (INS/DHS),Syrian Arab Rep.,2012,February,31
USA (INS/DHS),Syrian Arab Rep.,2012,March,56
USA (INS/DHS),Syrian Arab Rep.,2012,April,47
USA (INS/DHS),Syrian Arab Rep.,2012,May,40
USA (INS/DHS),Syrian Arab Rep.,2012,June,35
USA (INS/DHS),Syrian Arab Rep.,2012,July,40
USA (INS/DHS),Syrian Arab Rep.,2012,August,41
USA (INS/DHS),Syrian Arab Rep.,2012,September,50
USA (INS/DHS),Syrian Arab Rep.,2012,October,89
USA (INS/DHS),Syrian Arab Rep.,2012,November,81
USA (INS/DHS),Syrian Arab Rep.,2012,December,85
USA (INS/DHS),Syrian Arab Rep.,2013,January,114
USA (INS/DHS),Syrian Arab Rep.,2013,February,111
USA (INS/DHS),Syrian Arab Rep.,2013,March,148
USA (INS/DHS),Syrian Arab Rep.,2013,April,121
USA (INS/DHS),Syrian Arab Rep.,2013,May,144
USA (INS/DHS),Syrian Arab Rep.,2013,June,128
USA (INS/DHS),Syrian Arab Rep.,2013,July,111
USA (INS/DHS),Syrian Arab Rep.,2013,August,105
USA (INS/DHS),Syrian Arab Rep.,2013,September,89
USA (INS/DHS),Syrian Arab Rep.,2013,October,139
USA (INS/DHS),Syrian Arab Rep.,2013,November,106
USA (INS/DHS),Syrian Arab Rep.,2013,December,152
USA (INS/DHS),Syrian Arab Rep.,2014,January,139
USA (INS/DHS),Syrian Arab Rep.,2014,February,104
USA (INS/DHS),Syrian Arab Rep.,2014,March,138
USA (INS/DHS),Syrian Arab Rep.,2014,April,141
USA (INS/DHS),Syrian Arab Rep.,2014,May,112
USA (INS/DHS),Syrian Arab Rep.,2014,June,139
USA (INS/DHS),Syrian Arab Rep.,2014,July,151
USA (INS/DHS),Syrian Arab Rep.,2014,August,129
USA (INS/DHS),Syrian Arab Rep.,2014,September,132
USA (INS/DHS),Syrian Arab Rep.,2014,October,153
USA (INS/DHS),Syrian Arab Rep.,2014,November,100
USA (INS/DHS),Syrian Arab Rep.,2014,December,126
USA (INS/DHS),Syrian Arab Rep.,2015,January,118
USA (INS/DHS),Syrian Arab Rep.,2015,February,56
USA (INS/DHS),Syrian Arab Rep.,2015,March,79
USA (INS/DHS),Syrian Arab Rep.,2015,April,64
USA (INS/DHS),Syrian Arab Rep.,2015,May,76
USA (INS/DHS),Syrian Arab Rep.,2015,June,71
USA (INS/DHS),Syrian Arab Rep.,2015,July,81
USA (INS/DHS),Syrian Arab Rep.,2015,August,82
USA (INS/DHS),Syrian Arab Rep.,2015,September,86
USA (INS/DHS),Syrian Arab Rep.,2015,October,82
USA (INS/DHS),Syrian Arab Rep.,2015,November,97
USA (INS/DHS),Syrian Arab Rep.,2015,December,112
USA (EOIR),Syrian Arab Rep.,2011,January,8
USA (EOIR),Syrian Arab Rep.,2011,February,1
USA (EOIR),Syrian Arab Rep.,2011,March,1
USA (EOIR),Syrian Arab Rep.,2011,April,4
USA (EOIR),Syrian Arab Rep.,2011,May,6
USA (EOIR),Syrian Arab Rep.,2011,June,8
USA (EOIR),Syrian Arab Rep.,2011,July,4
USA (EOIR),Syrian Arab Rep.,2011,August,2
USA (EOIR),Syrian Arab Rep.,2011,September,3
USA (EOIR),Syrian Arab Rep.,2011,October,5
USA (EOIR),Syrian Arab Rep.,2011,November,10
USA (EOIR),Syrian Arab Rep.,2011,December,5
USA (EOIR),Syrian Arab Rep.,2012,January,6
USA (EOIR),Syrian Arab Rep.,2012,February,6
USA (EOIR),Syrian Arab Rep.,2012,March,8
USA (EOIR),Syrian Arab Rep.,2012,April,3
USA (EOIR),Syrian Arab Rep.,2012,May,5
USA (EOIR),Syrian Arab Rep.,2012,June,6
USA (EOIR),Syrian Arab Rep.,2012,July,2
USA (EOIR),Syrian Arab Rep.,2012,August,5
USA (EOIR),Syrian Arab Rep.,2012,September,2
USA (EOIR),Syrian Arab Rep.,2012,October,7
USA (EOIR),Syrian Arab Rep.,2012,November,4
USA (EOIR),Syrian Arab Rep.,2012,December,3
USA (EOIR),Syrian Arab Rep.,2013,January,4
USA (EOIR),Syrian Arab Rep.,2013,February,2
USA (EOIR),Syrian Arab Rep.,2013,March,5
USA (EOIR),Syrian Arab Rep.,2013,April,8
USA (EOIR),Syrian Arab Rep.,2013,May,8
USA (EOIR),Syrian Arab Rep.,2013,June,11
USA (EOIR),Syrian Arab Rep.,2013,July,11
USA (EOIR),Syrian Arab Rep.,2013,August,20
USA (EOIR),Syrian Arab Rep.,2013,September,16
USA (EOIR),Syrian Arab Rep.,2013,October,8
USA (EOIR),Syrian Arab Rep.,2013,November,14
USA (EOIR),Syrian Arab Rep.,2013,December,8
USA (EOIR),Syrian Arab Rep.,2014,January,19
USA (EOIR),Syrian Arab Rep.,2014,February,22
USA (EOIR),Syrian Arab Rep.,2014,March,9
USA (EOIR),Syrian Arab Rep.,2014,April,11
USA (EOIR),Syrian Arab Rep.,2014,May,9
USA (EOIR),Syrian Arab Rep.,2014,June,8
USA (EOIR),Syrian Arab Rep.,2014,July,12
USA (EOIR),Syrian Arab Rep.,2014,August,10
USA (EOIR),Syrian Arab Rep.,2014,September,6
USA (EOIR),Syrian Arab Rep.,2014,October,15
USA (EOIR),Syrian Arab Rep.,2014,November,16
USA (EOIR),Syrian Arab Rep.,2014,December,*
USA (EOIR),Syrian Arab Rep.,2015,January,8
USA (EOIR),Syrian Arab Rep.,2015,February,8
USA (EOIR),Syrian Arab Rep.,2015,March,*
USA (EOIR),Syrian Arab Rep.,2015,April,5
USA (EOIR),Syrian Arab Rep.,2015,May,10
USA (EOIR),Syrian Arab Rep.,2015,June,12
USA (EOIR),Syrian Arab Rep.,2015,July,10
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2011,February,12
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2011,March,11
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2011,April,7
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2011,July,1
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2011,August,1
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2011,November,1
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2012,January,4
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2012,March,3
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2012,April,7
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2012,May,13
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2012,June,23
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2012,July,5
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2012,August,29
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2012,September,33
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2012,October,51
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2012,November,41
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2012,December,79
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2013,January,33
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2013,February,47
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2013,March,84
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2013,April,93
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2013,May,82
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2013,June,44
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2013,July,70
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2013,August,103
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2013,September,221
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2013,October,194
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2013,November,165
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2013,December,226
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2014,January,540
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2014,February,233
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2014,March,183
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2014,April,271
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2014,May,346
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2014,June,425
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2014,July,792
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2014,August,951
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2014,September,1026
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2014,October,1770
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2014,November,1499
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2014,December,1748
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2015,January,1164
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2015,February,801
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2015,March,1628
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2015,April,1912
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2015,May,4564
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2015,June,8335
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2015,July,19607
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2015,August,27752
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2015,September,31847
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2015,October,96533
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2015,November,70630
Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,2015,December,36818
